CONTINGENCIAS,zona_max,zona_tecnologia,zona_barras
COMAHUE,136.75,[eolica],[COMAHUE]
PATAGONIA,200,[eolica],[PATAGONIA]
BUENOS AIRES,235.6,[eolica],[BUENOS AIRES]
RESTO EOLICA,193,[eolica],[RESTO EOLICA]
NOA,163.5,[solar],[NOA]
RESTO SOLAR,352.68,[solar],[RESTO SOLAR]
