PARTICIONES,barras_zona1,barras_zona2
SIC-SING,"[Tarapaca,Lagunas,Crucero-Encuentro,Atacama-Mejillones,Laberinto-Domeyko,Los_Changos-Kapatur]","[Diego_de_Almagro,Punta_Colorada,Maitencillo,Pan_de_Azucar,Las_Palmas,Los_Vilos,Quillota,Nogales,Polpaico,Melipilla,Cerro_Navia-Lo_Aguirre,Alto_Jahuel,Ancoa_220,Itahue,Tinguiririca,Charrua,Colbun_220,Temuco-Cautin,Rahue,Valdivia-Ciruelos,Puerto_Montt,Pichirropulli,Lalackama,Etaltal,Paposo,Cardones,Rapel_220]"
cardones-maitencillo,"[Tarapaca,Lagunas,Crucero-Encuentro,Atacama-Mejillones,Laberinto-Domeyko,Los_Changos-Kapatur,Diego_de_Almagro,Lalackama,Etaltal,Paposo,Cardones]","[Punta_Colorada,Maitencillo,Pan_de_Azucar,Las_Palmas,Los_Vilos,Quillota,Nogales,Polpaico,Melipilla,Cerro_Navia-Lo_Aguirre,Alto_Jahuel,Ancoa_220,Itahue,Tinguiririca,Charrua,Colbun_220,Temuco-Cautin,Rahue,Valdivia-Ciruelos,Puerto_Montt,Pichirropulli,Rapel_220]"
