Iteracion,Part Seleccionada,ENS esperada,Fobj Maestro
1,cardones-maitencillo,1513.6,161.6448266286921
2,SIC-SING,1513.6,161.64482662849616
3,cardones-maitencillo,342.84999999999906,161.8479089440965
4,SIC-SING,341.7699999999992,161.84794424012776
5,SIC-SING,223.1799999999981,161.9014994872593
6,cardones-maitencillo,257.2099999999986,161.90347787698715
7,SIC-SING,0.0,162.06259786559568
