Escenario,Falla,Generador,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,PG_0,RES_UP,PG_S,DPG
m2-d19-h18,multiple Wind zona viii region,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
m2-d19-h18,multiple PV zona norte del sic,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,226.9,151.0
m2-d19-h18,multiple Wind zona norte sic,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,226.9,151.0
m2-d19-h18,multiple Wind zona sing centro,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
m2-d19-h18,multiple Wind zona sur,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
m2-d19-h18,multiple Wind zona viii region,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
m2-d19-h18,multiple PV zona sur centro sing,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,115.26,39.36
m2-d19-h18,multiple PV zona centro,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
