Valor,Escenario,Valor Base,multiple PV zona norte chico,multiple PV zona norte del sic,multiple Wind zona norte sic,multiple Wind zona sing centro,multiple Wind zona sur,multiple Wind zona viii region,multiple PV zona sur centro sing,multiple PV zona centro,multiple PV zona norte sing,multiple Wind zona iv region
CostoTotal,m2-d19-h18,161993.17786559567,182460.62550566797,196748.98679765197,182115.96374501992,163894.25001845197,165499.88286783607,165791.75958091,188712.67872209995,175478.893814914,176417.16268757198,184599.137373652
CostoOperacion,m2-d19-h18,161993.17786559567,182460.62550566797,196748.98679765197,182115.96374501992,163894.25001845197,165499.88286783607,165791.75958091,188712.67872209995,175478.893814914,176417.16268757198,184599.137373652
CostoENS_0,m2-d19-h18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
